smss.exe	584	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Windows NT Session Manager	Microsoft Corporation		50,688	05/09/2007 19:23:34	03/08/2004 23:56:58	C:\WINDOWS\System32\smss.exe	0x48580000	09/08/2008 03:30:47	0	0	NT AUTHORITY\SYSTEM	48 K	468 K	219	148 K	1676 K	A	
csrss.exe	632	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Client Server Runtime Process	Microsoft Corporation		6,144	05/09/2007 19:22:56	03/08/2004 23:56:50	C:\WINDOWS\system32\csrss.exe	0x4A680000	09/08/2008 03:30:48	0	0	NT AUTHORITY\SYSTEM	3808 K	6412 K	64022	2404 K	5528 K	A	
winlogon.exe	656	High	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Windows NT Logon Application	Microsoft Corporation		502,272	05/09/2007 19:23:43	03/08/2004 23:56:58	C:\WINDOWS\system32\winlogon.exe	0x01000000	09/08/2008 03:30:51	0	0	NT AUTHORITY\SYSTEM	2140 K	22304 K	419314	8528 K	13300 K	A	
services.exe	700	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Services and Controller app	Microsoft Corporation		108,032	05/09/2007 19:23:32	03/08/2004 23:56:56	C:\WINDOWS\system32\services.exe	0x01000000	09/08/2008 03:30:52	0	0	NT AUTHORITY\SYSTEM	7696 K	38404 K	20655	4624 K	5248 K	A	
lsass.exe	712	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	LSA Shell (Export Version)	Microsoft Corporation		13,312	05/09/2007 19:23:15	03/08/2004 23:56:52	C:\WINDOWS\system32\lsass.exe	0x01000000	09/08/2008 03:30:52	0	0	NT AUTHORITY\SYSTEM	3068 K	34028 K	480659	4836 K	4924 K	A	
svchost.exe	892	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\system32\svchost.exe	0x01000000	09/08/2008 03:30:52	0	0	NT AUTHORITY\SYSTEM	36516 K	36564 K	16998	2976 K	23456 K	A	
svchost.exe	964	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\system32\svchost.exe	0x01000000	09/08/2008 03:30:52	0	0		33388 K	33416 K	13751	2160 K	2208 K	A	
svchost.exe	1060	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\System32\svchost.exe	0x01000000	09/08/2008 03:30:52	0	0	NT AUTHORITY\SYSTEM	72152 K	80360 K	3546527	21512 K	29796 K	A	
svchost.exe	1140	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\system32\svchost.exe	0x01000000	09/08/2008 03:30:52	0	0		24352 K	24420 K	13589	1528 K	1752 K	A	
svchost.exe	1220	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\system32\svchost.exe	0x01000000	09/08/2008 03:30:53	0	0		132340 K	132608 K	82055	96768 K	97904 K	A	
spoolsv.exe	1272	Normal	Microsoft® Windows® Operating System	5.1.2600.2696 (xpsp_sp2_gdr.050610-1519)	Spooler SubSystem App	Microsoft Corporation		57,856	05/09/2007 19:23:37	10/06/2005 23:53:32	C:\WINDOWS\system32\spoolsv.exe	0x01000000	09/08/2008 03:30:53	0	0	NT AUTHORITY\SYSTEM	5412 K	8912 K	7260	6000 K	9672 K	A	
msdtc.exe	1432	Normal	Microsoft Distributed Transaction Coordinator	2001.12.4414.258	MS DTC console program	Microsoft Corporation		6,144	05/09/2007 11:36:58	03/08/2004 23:56:54	C:\WINDOWS\system32\msdtc.exe	0x00400000	09/08/2008 03:30:56	0	0		492 K	5128 K	1420	1944 K	1992 K	A	
svchost.exe	1552	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Generic Host Process for Win32 Services	Microsoft Corporation		14,336	05/09/2007 19:23:38	03/08/2004 23:56:58	C:\WINDOWS\system32\svchost.exe	0x01000000	09/08/2008 03:30:56	0	0		26308 K	26308 K	11744	2292 K	2316 K	A	
btwdins.exe	1568	Normal	Bluetooth Software 4.0.1.700	4.0.1.700	Bluetooth Support Server	Broadcom Corporation.		254,007	30/11/2004 10:50:00	30/11/2004 10:50:00	C:\Program Files\Linksys\Bluetooth Utility\bin\btwdins.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	1372 K	3420 K	1705	2160 K	2248 K	A	
cisvc.exe	1580	Normal	Microsoft® Windows® Operating System	5.1.2600.2180 (xpsp_sp2_rtm.040803-2158)	Content Index service	Microsoft Corporation		5,632	05/09/2007 19:22:55	03/08/2004 23:56:48	C:\WINDOWS\system32\cisvc.exe	0x01000000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	356 K	11716 K	2581447	5300 K	12812 K	A	
cvsservice.exe	1612	Normal	cvsnt	cvsservice 2.0.51d	cvsnt service	GNU		35,328	19/08/2004 08:39:30	19/08/2004 08:39:30	C:\cvsnt\cvsservice.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	504 K	2988 K	783	844 K	948 K	A	
cvslock.exe	1632	Normal						48,640	19/08/2004 08:39:30	19/08/2004 08:39:30	C:\cvsnt\cvslock.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	404 K	2660 K	680	816 K	816 K	A	
SRVANY.exe	1652	Normal						15,872	05/09/2007 19:24:20	02/12/1999 13:54:38	C:\WINDOWS\System32\SRVANY.exe	0x01000000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	184 K	1640 K	418	524 K	552 K	A	
FrameworkService.exe	1688	Normal	McAfee Common Framework	3.6.0.546	Framework Service	McAfee, Inc.		104,000	05/09/2007 12:05:04	10/07/2007 10:08:38	C:\Program Files\McAfee\Common Framework\FrameworkService.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	13636 K	18760 K	1492341	12020 K	14160 K	A	
Mcshield.exe	1716	High	VirusScan	8.0.0.318	On-Access Scanner service	Network Associates, Inc.		221,191	14/02/2006 19:00:00	14/02/2006 19:00:00	C:\Program Files\Network Associates\VirusScan\Mcshield.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	53444 K	112460 K	2134205	99208 K	109872 K	A	
VsTskMgr.exe	1740	Normal	VirusScan Enterprise	8.0.0.1004	Task Manager : scheduling and OAS alerting service	Network Associates, Inc.		29,184	08/06/2006 19:00:00	08/06/2006 19:00:00	C:\Program Files\Network Associates\VirusScan\VsTskMgr.exe	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	420 K	5480 K	60874	2832 K	3548 K	A	
MDM.EXE	1784	Normal	Microsoft® Visual Studio .NET	7.00.9466	Machine Debug Manager	Microsoft Corporation		322,120	19/06/2003 23:25:00	19/06/2003 23:25:00	C:\Program Files\Common Files\Microsoft Shared\VS7DEBUG\MDM.EXE	0x00400000	09/08/2008 03:30:56	0	0	NT AUTHORITY\SYSTEM	1620 K	3416 K	2000	1204 K	1256 K	A	
